Notes,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,Fill Type,TIF,Status
,2/13/17 11:53:56,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,280,CALL,-1.8,LMT,DAY,FILLED
,,RE #1424409940,SELL,-3,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,2/13/17 11:53:45,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,280,CALL,-1.8,LMT,DAY,FILLED
,,RE #1424409982,SELL,-3,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,2/13/17 11:49:49,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.68,LMT,DAY,FILLED
,,RE #1424402042,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/13/17 11:48:58,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.65,LMT,DAY,FILLED
,,RE #1424402070,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/13/17 11:48:17,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.66,LMT,DAY,FILLED
,,RE #1424402027,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/13/17 11:47:38,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 FEB 17,275,CALL,2.65,LMT,DAY,FILLED
,,,SELL,-3,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/9/17 12:38:14,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,270,CALL,-1.64,LMT,DAY,FILLED
,,RE #1422187635,SELL,-3,TO OPEN,TSLA,17 MAR 17,280,CALL,<empty>,,,
